city,location
1,Point(-121.655555555 36.677777777)
2,Point(51.416666666 35.7)
3,Point(6.772380555 51.231144444)
4,Point(-112.035 46.592777777)
5,Point(30.8425 27.730555555)
6,Point(-77.918611111 21.378611111)
7,Point(6.15 46.2)
8,Point(109.92445 33.86805)
9,Point(20.466666666 44.816666666)
10,Point(7.216666666 51.483333333)
11,Point(116.11913 24.29977)
12,Point(104.63974 30.12562)
13,Point(22.89 47.79)
14,Point(86.13 25.42)
15,Point(-8.616666666 41.233333333)
16,Point(75.83 25.18)
17,Point(-52.342777777 -31.771944444)
18,Point(-55.983888888 -4.275833333)
19,Point(92.896944444 20.144444444)
20,Point(30.6479 31.1308)
21,Point(-79.65 43.6)
22,Point(113.57623 37.8576)
23,Point(109.83454 40.65621)
24,Point(7.347222222 47.365277777)
25,Point(-73.633333333 45.7)
26,Point(139.152222222 35.264722222)
27,Point(-73.552222222 41.096666666)
28,Point(74.34 34.2)
29,Point(-73.329444444 40.694444444)
30,Point(74.806111111 34.091111111)
31,Point(-60.671944444 2.82)
32,Point(-97.016944 32.715278)
33,Point(110.364444444 -7.801388888)
34,Point(25.7284789 66.5027903)
35,Point(38.2763 37.7644)
36,Point(39.633333333 11.133333333)
37,Point(19.94444444 60.09861111)
38,Point(115.48452 38.86712)
39,Point(35.375833333 33.560555555)
40,Point(-49.870833333 -22.978888888)
41,Point(113.56778 22.27694)
42,Point(40.405833333 56.128611111)
43,Point(45.0 53.2)
44,Point(121.606388888 23.972222222)
45,Point(139.821666666 38.721666666)
46,Point(-170.700555555 -14.279444444)
47,Point(110.91783 21.66182)
48,Point(13.75 -10.718333333)
49,Point(8.516666666 12.0)
50,Point(76.595 60.938888888)
51,Point(31.6 4.85)
52,Point(139.519722222 35.879444444)
53,Point(130.3 33.266666666)
54,Point(40.093888888 47.422222222)
55,Point(10.4 63.44)
56,Point(70.07 22.47)
57,Point(122.1 37.5)
58,Point(-117.048055555 32.627777777)
59,Point(105.93401 26.24562)
60,Point(-78.593572222 -9.074544444)
61,Point(13.16666667 52.53333333)
62,Point(0.286111 50.766389)
63,Point(39.666666666 -4.05)
64,Point(13.361262 38.115658)
65,Point(-64.3477571 -33.1229869)
66,Point(82.916666666 55.033333333)
67,Point(-88.165555555 41.748055555)
68,Point(91.8325 22.335)
69,Point(-74.0705 4.612638888)
70,Point(1.1025 49.443055555)
71,Point(32.52654 15.60308)
72,Point(113.105556 23.029167)
73,Point(114.008888888 4.414722222)
74,Point(140.145833333 35.832222222)
75,Point(125.00798 46.59791)
76,Point(78.094 18.671997222)
77,Point(-86.392078 35.846143)
78,Point(44.4 35.466666666)
79,Point(-99.13138889 19.435)
80,Point(-48.917777777 -27.097777777)
81,Point(106.27816 36.00801)
82,Point(-0.579444444 44.837777777)
83,Point(-78.849444444 42.904722222)
84,Point(46.360555555 40.682777777)
85,Point(-72.925 41.308333333)
86,Point(35.933333333 31.95)
87,Point(-94.416666666 39.083333333)
88,Point(-16.5775 13.453055555)
89,Point(-5.03306 7.68333)
90,Point(50.1 26.433333333)
91,Point(-8.66743 41.20766)
92,Point(88.42 22.62)
93,Point(36.33 41.286666666)
94,Point(51.433333333 33.983333333)
95,Point(112.54245 37.87326)
96,Point(35.883333333 34.883333333)
97,Point(26.083333333 44.4)
98,Point(103.83806 30.05746)
99,Point(-121.381944444 38.438333333)
100,Point(-48.186944444 -18.648888888)
101,Point(132.219722222 34.166944444)
102,Point(-98.988888888 19.4)
103,Point(-118.083333333 33.906944444)
104,Point(113.09695 36.19529)
105,Point(-58.6517 -34.8447)
106,Point(47.895833333 56.632777777)
107,Point(108.438333333 11.941666666)
108,Point(-88.305277777 18.503611111)
109,Point(24.106944444 56.9475)
110,Point(15.831944444 50.209166666)
111,Point(108.3 21.6)
112,Point(-68.276666666 12.150833333)
113,Point(-54.616666666 -25.516666666)
114,Point(10.92572 44.64582)
115,Point(-66.0683255 18.4222581)
116,Point(127.932222222 36.970555555)
117,Point(-47.882777777 -15.793888888)
118,Point(34.9 36.916666666)
119,Point(14.19557 40.93188)
120,Point(31.616666666 -7.966666666)
121,Point(126.714166666 37.623611111)
122,Point(105.116666666 10.7)
123,Point(5.484166666 51.434444444)
124,Point(-8.473055555 51.9)
125,Point(127.282234 36.487002)
126,Point(-90.525277777 19.848611111)
127,Point(-118.0275 34.073333333)
128,Point(46.211666666 36.520833333)
129,Point(79.933333333 23.166666666)
130,Point(-80.355 27.275833333)
131,Point(72.6 61.1)
132,Point(38.791666666 37.158333333)
133,Point(19.454722222 51.776944444)
134,Point(113.08333 22.58333)
135,Point(-36.65 -9.75)
136,Point(-5.67732 43.52931)
137,Point(-72.1033 -36.6067)
138,Point(7.494166666 6.440277777)
139,Point(97.566666666 1.116666666)
140,Point(116.0725 5.975)
141,Point(115.63519 22.94918)
142,Point(24.559722222 46.549722222)
143,Point(-104.984722222 39.739166666)
