from, AED, AZN, BOV, BTN, BZD, CAD, CHE, CHF, CHW, DKK, DZD, ERN, ETB, FKP, GIP, GMD, GTQ, HKD, HRK, HUF, INR, IRR, ISK, KES, KGS, KRW, KYD, LKR, MGA, MNT, NGN, NOK, NZD, OMR, PHP, RUB, SEK, SGD, SHP, SZL, TMT, TRY, TWD, UGX, UZS, VED, VND, VUV, XAG, YER, ZAR, 
AED, x, x, x, x, x, x, x, 1.0492011325038633, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.999101341551059, x, x, x, x, x, x, 1.0637851377639793, x, x, x, x, x, x, x, x, x, x, 
AZN, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.003442606743173, x, x, x, x, x, x, 0.9451662811390725, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
BOV, x, x, x, x, x, x, x, x, x, x, x, x, 0.9784131312082385, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
BTN, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0282802988287238, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
BZD, x, x, x, x, x, x, x, x, 1.048117454493128, 1.0599359533048789, 1.063115986577978, x, x, 0.9884496521411478, 1.0323910604247981, 1.023733969435411, 1.0509277653527003, x, 1.0605124784783004, 1.0502347264774723, x, 1.0225695830132024, x, x, x, x, 0.9442618727874171, x, 0.9842239954196355, 0.9711608145261827, 0.9979162878977555, x, x, x, x, x, x, x, x, x, x, 1.0219884732062472, x, x, x, 0.9743016242069341, 1.0139996960345605, 1.0241224388563077, x, x, x, 
CAD, x, x, x, x, x, x, 1.0151303915780188, x, 1.0540058532944423, x, 1.0548364895831348, 1.013723104588237, x, x, 1.0079196284418375, x, x, 0.9573306499228763, 1.0054608361928328, 0.9871644068203653, x, x, x, x, x, x, 1.034286078239665, x, x, 1.0025712125308675, 0.9797664197067186, x, x, x, x, x, x, x, x, x, x, 1.0113814485918433, 0.96677139239231, x, x, 0.9426937847003115, 0.9483983683643988, 0.9702697161611422, x, x, 1.0624987342372476, 
CHE, x, x, x, x, x, 0.9837304393465, x, x, 1.0214598380948643, 1.0171854843226373, 0.9988355662163171, 1.0525927157921955, x, 0.9656796391177904, 1.0494034366044283, 1.044908445505662, 0.9693363569079575, x, 1.029678072630531, 1.0612948837072476, x, 0.9778876397151591, x, 0.9979235840837954, 0.9970601915911255, x, 0.9786769996031356, x, x, 0.9660851656398349, x, x, x, x, x, x, x, x, x, x, x, x, 1.056217866088687, x, x, x, 1.0537068121406887, x, x, x, x, 
CHF, 0.9517857302706944, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9689863895059694, x, 
CHW, x, x, x, x, 0.9527698082119634, 0.9474469833158132, 0.97763478196417, x, x, 1.0550712909279412, 0.9489269264540922, 1.0315022298968632, x, 0.9684752836141495, 1.068097651384532, 0.9354468676011756, 1.0263547048869188, 0.9657138338265332, 0.9622008301299033, 0.938348291207108, x, 1.0668711339410355, x, 1.0365938276238915, 0.9677728567050695, x, 1.059123749953095, x, 1.0121278532929006, 0.978022194502176, 1.0396077565561643, x, x, x, x, x, x, x, x, x, x, 1.0506413602581033, 1.0125734878844996, x, x, x, 0.9707228758429082, 1.0626183351443597, x, x, 0.941718332098709, 
DKK, x, x, x, x, 0.9421462334467943, x, 0.9817429382272643, x, 0.9464902274259985, x, 0.9368854569299399, 1.0166900450975649, x, x, 1.0633980571276855, 1.0133746217390336, 0.9958425602871017, 1.0321281269731424, 1.0123214082880978, 0.9418761408833496, x, x, x, 1.0143664819741471, 0.9685179389679458, x, 0.9549797444544251, x, 0.9605408356682639, 0.9513419607453416, 1.046617138793717, x, x, x, x, x, x, x, x, x, x, 0.9938470192094161, 1.0169276152961153, x, x, 1.0289240433367988, 1.0390908412111062, 1.0323670148664417, x, x, 0.9446220399167123, 
